,Lead Origin,Lead Source,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Lead Quality,City,Last Notable Activity,A free copy of Mastering The Interview,Do Not Email,Converted
249,API,Direct Traffic,5.0,1837,2.5,Email Opened,High in Relevance,Thane & Outskirts,Email Opened,No,No,1
250,Landing Page Submission,Google,1.0,302,1.0,Converted to Lead,Not Sure,Thane & Outskirts,Modified,No,No,0
251,Landing Page Submission,Google,6.0,32,6.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
252,Landing Page Submission,Direct Traffic,1.0,1226,1.0,Converted to Lead,Not Sure,Tier II Cities,Modified,Yes,No,0
253,Landing Page Submission,Google,4.0,144,4.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,No,No,0
254,API,Organic Search,2.0,631,1.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,1
255,Landing Page Submission,Direct Traffic,1.0,891,1.0,Converted to Lead,Low in Relevance,Other Cities of Maharashtra,Modified,Yes,No,1
256,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
257,API,Google,3.0,235,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
258,Landing Page Submission,Google,2.0,453,2.0,Email Link Clicked,Not Sure,Mumbai,Modified,No,No,0
259,API,Referral Sites,3.0,60,1.5,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
260,Lead Add Form,Welingak Website,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,1
261,API,Organic Search,9.0,96,4.5,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
262,Lead Add Form,Welingak Website,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
263,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
264,API,Referral Sites,11.0,825,11.0,Olark Chat Conversation,Low in Relevance,Thane & Outskirts,Modified,No,No,1
265,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
266,API,Direct Traffic,11.0,10,5.5,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
267,Lead Add Form,Reference,3.0,1704,2.0,Email Opened,Might be,Mumbai,Modified,No,No,1
268,API,Organic Search,3.0,1154,1.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,1
269,Lead Add Form,Reference,3.0,1262,2.0,Email Opened,High in Relevance,Other Cities of Maharashtra,Modified,No,No,1
270,Lead Add Form,Reference,0.0,0,0.0,Email Opened,Might be,Mumbai,Email Opened,No,No,1
271,Landing Page Submission,Referral Sites,6.0,104,3.0,Email Opened,Not Sure,Other Metro Cities,Email Opened,Yes,No,1
272,API,Google,3.0,331,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
273,Landing Page Submission,Google,5.0,294,2.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
274,API,Organic Search,5.0,345,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
275,API,Google,2.0,172,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
276,Landing Page Submission,Google,4.0,228,4.0,Email Opened,Low in Relevance,Thane & Outskirts,Email Opened,No,No,1
277,Landing Page Submission,Organic Search,5.0,26,5.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,0
278,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
279,API,Referral Sites,4.0,436,4.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
280,Landing Page Submission,google,5.0,1008,5.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
281,Landing Page Submission,Referral Sites,17.0,71,3.4,Unreachable,Might be,Other Cities of Maharashtra,Modified,No,No,0
282,Landing Page Submission,Google,8.0,43,8.0,Olark Chat Conversation,Might be,Mumbai,Modified,No,No,0
283,Landing Page Submission,Google,4.0,294,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
284,API,Organic Search,2.0,1528,1.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
285,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
286,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
287,API,Referral Sites,1.0,213,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
288,Landing Page Submission,Organic Search,4.0,31,1.33,Email Opened,Might be,Other Cities,Email Opened,Yes,No,1
289,API,Google,3.0,389,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
290,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
291,API,Google,4.0,97,4.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
292,Landing Page Submission,Direct Traffic,13.0,194,13.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
293,Landing Page Submission,Direct Traffic,2.0,526,2.0,Form Submitted on Website,Not Sure,Mumbai,Modified,No,No,1
294,API,Google,10.0,11,10.0,View in browser link Clicked,Not Sure,Mumbai,Modified,No,No,0
295,API,Organic Search,5.0,297,2.5,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
296,Landing Page Submission,Direct Traffic,4.0,174,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
297,Landing Page Submission,Organic Search,4.0,12,4.0,Page Visited on Website,Might be,Other Cities,Modified,Yes,No,0
298,Landing Page Submission,Direct Traffic,5.0,254,1.25,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,1
299,Lead Add Form,Reference,3.0,803,2.0,Email Opened,Low in Relevance,Mumbai,Modified,No,No,1
300,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
301,Landing Page Submission,Google,4.0,595,4.0,Page Visited on Website,Not Sure,Thane & Outskirts,Modified,No,No,1
302,API,Referral Sites,7.0,250,2.33,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
303,Landing Page Submission,Google,11.0,1189,11.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
304,Landing Page Submission,Google,5.0,73,5.0,Email Opened,Might be,Mumbai,Email Opened,No,No,0
305,Landing Page Submission,Direct Traffic,3.0,491,3.0,Email Opened,Low in Relevance,Mumbai,Modified,Yes,No,0
306,API,Google,7.0,1281,1.75,Email Bounced,Might be,Mumbai,Email Bounced,No,Yes,1
307,API,Organic Search,3.0,117,3.0,Olark Chat Conversation,Might be,Mumbai,Modified,No,No,1
308,API,Google,5.0,1493,1.67,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
309,Landing Page Submission,Google,5.0,263,2.5,Email Opened,Might be,Mumbai,Email Opened,No,No,1
310,API,Google,7.0,207,3.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
311,Landing Page Submission,Google,4.0,67,4.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
312,API,Referral Sites,6.0,866,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
313,Landing Page Submission,Organic Search,6.0,419,6.0,Unreachable,Not Sure,Mumbai,Modified,Yes,No,0
314,API,Organic Search,11.0,188,5.5,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
315,API,Google,2.0,362,2.0,Email Link Clicked,Not Sure,Mumbai,Modified,No,No,0
316,Landing Page Submission,Google,3.0,199,3.0,Form Submitted on Website,Might be,Mumbai,Modified,No,No,0
317,API,Google,10.0,556,5.0,Olark Chat Conversation,Might be,Mumbai,Modified,No,No,1
318,API,Referral Sites,5.0,1536,5.0,Email Opened,Low in Relevance,Thane & Outskirts,Email Opened,No,No,1
319,API,Google,4.0,1088,4.0,Page Visited on Website,High in Relevance,Mumbai,Modified,No,No,1
320,Landing Page Submission,Referral Sites,6.0,863,6.0,Email Opened,Low in Relevance,Thane & Outskirts,Email Opened,Yes,No,1
321,Landing Page Submission,Direct Traffic,4.0,1410,4.0,Email Bounced,Not Sure,Mumbai,Modified,No,Yes,0
322,API,Organic Search,8.0,76,8.0,Email Bounced,Not Sure,Mumbai,Modified,No,Yes,0
323,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
324,Landing Page Submission,Direct Traffic,6.0,209,3.0,Page Visited on Website,Not Sure,Other Cities of Maharashtra,Modified,Yes,No,0
325,Landing Page Submission,Google,5.0,58,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
326,API,Google,6.0,90,2.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
327,API,Organic Search,7.0,950,2.33,Email Opened,Might be,Mumbai,Email Opened,No,No,1
328,API,Olark Chat,0.0,0,0.0,Email Opened,Low in Relevance,Other Cities,Modified,No,No,0
329,Landing Page Submission,Google,8.0,149,2.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,Yes,No,0
330,Landing Page Submission,Direct Traffic,4.0,3,4.0,Olark Chat Conversation,Not Sure,Other Cities,Modified,Yes,No,0
331,Landing Page Submission,Direct Traffic,7.0,901,7.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
332,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
333,API,Referral Sites,6.0,110,3.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
334,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
335,Lead Add Form,Reference,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
336,API,Google,3.0,445,3.0,Email Link Clicked,Not Sure,Mumbai,Modified,No,No,0
337,Landing Page Submission,Google,7.0,1939,2.33,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
338,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
339,API,Google,3.0,199,1.5,Email Opened,Low in Relevance,Thane & Outskirts,Modified,No,No,0
340,API,Direct Traffic,1.0,633,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
341,API,Google,4.0,457,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
342,API,Referral Sites,4.0,86,4.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
343,Landing Page Submission,Google,7.0,57,2.33,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
344,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
345,Landing Page Submission,Organic Search,21.0,1113,2.63,Email Opened,Low in Relevance,Mumbai,Email Opened,Yes,No,1
346,API,Referral Sites,4.0,237,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
347,Landing Page Submission,Google,2.0,43,2.0,Form Submitted on Website,Not Sure,Mumbai,Modified,No,No,0
348,Lead Add Form,Reference,3.0,43,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,1
349,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
350,Lead Add Form,Google,0.0,0,0.0,Email Opened,High in Relevance,Thane & Outskirts,Email Opened,No,No,1
351,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
352,API,Organic Search,2.0,1366,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
353,Lead Add Form,Reference,0.0,0,0.0,Email Link Clicked,Low in Relevance,Mumbai,Email Link Clicked,No,No,1
354,API,Organic Search,3.0,124,3.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
355,API,Google,2.0,135,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
356,Landing Page Submission,Referral Sites,5.0,1216,2.5,Email Opened,Might be,Other Cities,Email Opened,Yes,No,1
357,Landing Page Submission,Direct Traffic,3.0,35,3.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
358,API,Olark Chat,0.0,0,0.0,Unreachable,Low in Relevance,Other Cities,Unreachable,No,No,1
359,Landing Page Submission,Google,4.0,157,4.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,No,No,0
360,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
361,API,Referral Sites,3.0,170,1.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
362,API,Organic Search,4.0,71,4.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
363,Landing Page Submission,Organic Search,5.0,811,5.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
364,Lead Add Form,Reference,3.0,972,2.0,Email Opened,Low in Relevance,Mumbai,Modified,No,No,1
365,API,Referral Sites,10.0,278,5.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
366,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
367,API,Referral Sites,5.0,809,5.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
368,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
369,Lead Add Form,Reference,3.0,781,2.0,Email Opened,Low in Relevance,Mumbai,Modified,No,No,1
370,Landing Page Submission,Google,4.0,1226,4.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
371,Landing Page Submission,Google,5.0,1469,2.5,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
372,API,Referral Sites,5.0,253,1.67,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
373,Lead Add Form,Welingak Website,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
374,Landing Page Submission,Organic Search,4.0,1378,4.0,Had a Phone Conversation,Might be,Mumbai,Modified,No,No,1
375,API,Referral Sites,10.0,66,10.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
376,Landing Page Submission,Google,4.0,372,4.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
377,API,Organic Search,3.0,1636,1.5,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,1
378,API,Google,2.0,376,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
379,Landing Page Submission,Google,1.0,214,1.0,Converted to Lead,Not Sure,Other Cities,Modified,No,No,1
380,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
381,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,Yes,0
382,Landing Page Submission,Organic Search,8.0,93,8.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
383,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
384,Landing Page Submission,Direct Traffic,3.0,365,3.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
385,Landing Page Submission,Google,6.0,274,2.0,Email Opened,Might be,Mumbai,Email Opened,No,No,1
386,API,Referral Sites,4.0,179,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
387,Landing Page Submission,Google,15.0,753,15.0,Unreachable,Might be,Mumbai,Modified,Yes,No,0
388,Landing Page Submission,Direct Traffic,3.0,1346,3.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,Yes,No,0
389,API,Google,7.0,277,3.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
390,API,Google,2.0,90,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
391,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
392,Landing Page Submission,Google,9.0,1289,2.25,Email Opened,High in Relevance,Mumbai,Email Opened,Yes,No,1
393,API,Referral Sites,8.0,246,2.67,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
394,Landing Page Submission,Google,11.0,116,3.67,Page Visited on Website,Not Sure,Other Cities of Maharashtra,Page Visited on Website,No,No,0
395,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
396,Landing Page Submission,Google,5.0,472,5.0,Had a Phone Conversation,Might be,Mumbai,Had a Phone Conversation,Yes,No,1
397,API,Google,2.0,395,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
398,API,Olark Chat,0.0,0,0.0,Unreachable,Not Sure,Mumbai,Unreachable,No,No,0
399,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
400,Landing Page Submission,Direct Traffic,4.0,1354,4.0,Unsubscribed,Might be,Mumbai,Unsubscribed,Yes,Yes,1
401,Landing Page Submission,Organic Search,5.0,1102,5.0,Email Opened,Low in Relevance,Mumbai,Email Opened,Yes,No,1
402,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
403,API,Google,2.0,1268,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
404,API,Organic Search,5.0,1354,2.5,Email Opened,Might be,Mumbai,Modified,No,No,1
405,API,Referral Sites,3.0,1561,1.5,Had a Phone Conversation,Might be,Mumbai,Modified,No,No,1
406,Landing Page Submission,Google,10.0,1128,1.43,Email Opened,High in Relevance,Mumbai,Email Opened,Yes,No,1
407,API,Organic Search,4.0,1341,2.0,Email Opened,Worst,Mumbai,Email Opened,No,No,1
408,Landing Page Submission,Google,2.0,250,2.0,Form Submitted on Website,Not Sure,Thane & Outskirts,Modified,No,No,0
409,API,Organic Search,2.0,250,2.0,Email Opened,Might be,Mumbai,Email Opened,No,No,0
410,API,Organic Search,2.0,248,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
411,Landing Page Submission,Direct Traffic,2.0,402,2.0,Unsubscribed,Not Sure,Other Metro Cities,Unsubscribed,No,Yes,0
412,API,Referral Sites,1.0,235,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
413,API,Organic Search,6.0,125,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
414,API,Organic Search,2.0,236,2.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
415,API,Referral Sites,9.0,110,9.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
416,API,Organic Search,7.0,265,3.5,Email Bounced,Might be,Mumbai,Email Bounced,No,Yes,0
417,Landing Page Submission,Google,7.0,109,7.0,Email Opened,Might be,Mumbai,Email Opened,No,No,0
418,Landing Page Submission,Google,3.0,98,3.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
419,Landing Page Submission,Referral Sites,7.0,315,3.5,Email Opened,Not Sure,Other Metro Cities,Email Opened,Yes,No,0
420,API,Google,2.0,339,2.0,Unreachable,Not Sure,Mumbai,Modified,No,No,0
421,Landing Page Submission,Direct Traffic,3.0,211,3.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
422,Landing Page Submission,Direct Traffic,2.0,703,2.0,Email Opened,Might be,Mumbai,Email Opened,Yes,No,1
423,Landing Page Submission,Organic Search,13.0,408,6.5,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
424,API,Referral Sites,11.0,366,3.67,Email Opened,Low in Relevance,Thane & Outskirts,Modified,No,No,0
425,Landing Page Submission,Organic Search,5.0,106,5.0,Unreachable,Not Sure,Mumbai,Modified,No,Yes,0
426,Landing Page Submission,Google,2.0,1099,2.0,SMS Sent,Might be,Mumbai,Modified,No,No,1
427,API,Organic Search,11.0,306,11.0,Page Visited on Website,Not Sure,Thane & Outskirts,Modified,Yes,No,0
428,API,Google,9.0,290,3.0,Page Visited on Website,Not Sure,Thane & Outskirts,Page Visited on Website,Yes,No,0
429,API,Organic Search,11.0,220,11.0,Page Visited on Website,Might be,Thane & Outskirts,Modified,Yes,No,0
430,Landing Page Submission,Google,8.0,235,8.0,Email Opened,Low in Relevance,Mumbai,Modified,No,No,1
431,Landing Page Submission,Direct Traffic,6.0,25,3.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
432,API,Organic Search,7.0,463,3.5,Unreachable,Might be,Mumbai,Modified,No,No,0
433,Landing Page Submission,Direct Traffic,2.0,398,2.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
434,API,Organic Search,3.0,623,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
435,Landing Page Submission,Google,4.0,281,4.0,Email Opened,Might be,Mumbai,Email Opened,No,No,0
436,Landing Page Submission,Direct Traffic,3.0,46,3.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,Yes,No,0
437,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
438,Landing Page Submission,Google,9.0,1468,9.0,Page Visited on Website,Low in Relevance,Mumbai,Modified,No,No,1
439,Landing Page Submission,Organic Search,5.0,615,2.5,Email Bounced,Not Sure,Other Cities,Email Bounced,Yes,Yes,0
440,API,Google,6.0,424,3.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
441,Landing Page Submission,Google,4.0,3,4.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,No,No,0
442,API,Referral Sites,3.0,64,3.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
443,Landing Page Submission,Direct Traffic,2.0,107,2.0,Email Opened,Might be,Other Cities,Email Opened,No,No,1
444,API,Referral Sites,3.0,150,1.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
445,Landing Page Submission,Google,5.0,663,5.0,Unreachable,Might be,Mumbai,Modified,No,No,0
446,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,Modified,No,No,1
447,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,1
448,Lead Add Form,Reference,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
449,Lead Add Form,Welingak Website,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,1
450,API,Organic Search,3.0,185,3.0,Converted to Lead,Might be,Mumbai,Modified,No,No,0
451,Landing Page Submission,Direct Traffic,8.0,321,4.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
452,Landing Page Submission,Google,4.0,1357,4.0,SMS Sent,Might be,Thane & Outskirts,Modified,No,No,1
453,Landing Page Submission,Direct Traffic,4.0,1447,4.0,SMS Sent,Not Sure,Other Metro Cities,Modified,Yes,No,0
454,Lead Add Form,Reference,1.0,990,1.0,Page Visited on Website,Low in Relevance,Mumbai,Page Visited on Website,No,No,1
455,API,Google,2.0,44,2.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
456,API,Referral Sites,2.0,56,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
457,Landing Page Submission,Google,3.0,1412,3.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
458,API,Google,2.0,374,1.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
459,Landing Page Submission,Google,4.0,746,4.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
